"","Heading","Text","Rating","Time"
"49","Just what I had been looking to buy.","Staff at Best Buy (Alex, Brian and Shelby) were very helpful in assisting my selection and purchase.  5 stars!",5,2019-12-13 16:05:00
"50","My husband is an iPhone fan","Have been using iPhone for several years. Loves this phone, still has glass screen. Awesome performance",5,2019-12-14 13:25:00
"51","Great phone for my hard-working husband.","Purchased the iphone 8 for a gift for my husband.  The Best Buy store personnel helped get it activated and ready for my husband.  Even though he does not handle new technology very well, this was an easy transition for him.  He is using his new phone frequently with no problems!",5,2019-08-15 11:01:00
"52","Excellent product and support by Best Buy","We bought a new phones and changed carriers thru Best Buy.  BB did an excellent job of migrating to the new carrier and also migrating from our older iPhone versions.   Very smooth transition.",5,2019-07-18 17:50:00
"53","Gold color is nice","This is the lowest price to get you into the iPhone ecosystem. Purchased from Best Buy for $90 off on sale for an 83 year old to replace 5c. Perfect for her and does the trick for what she needs. Very much wish they still made the SE or equivalent. Phone is still fluid and quick with the A11 processor. Glad that Apple started including 64GB standard. The gold glass back is very attractive.",4,2019-09-07 10:03:00
"54","8 is great","Apple is up to 11 now, but I see no need yet to move away from 8. With all the updates it still has everything I need and the wireless charging and connectivity all work well.",5,2019-10-18 14:16:00
"55","iPhone 8","Finally mom got rid of the flip phone. Went with the 8 because it still has home button like her iPad.",5,2019-12-07 06:58:00
"56","NIce upgrade but pricey","This is a very capable smart phone that most people can use without much tech savvy. Moving apps, contacts, and files from the old Iphone to the new one was easy. Getting our cell phone carrier to realize that we were using a new phone that we bought at Best Buy (not a dedicated cell phone store) was a struggle. 

This phone is a cost effective alternative to an Iphone X, which was more than twice the price.",4,2019-08-23 18:44:00
"57","1st phone for granddaughter. Very special","Great buy Phone for my granddaughter. I know she will really enjoy it because all her friends also have iPhones",5,2019-11-28 08:58:00
"58","Excellent phone great price.","So excited about my excellent new phone. The size is perfect for managing and using it with adult hands. I recommend this phone",5,2019-11-16 00:37:00
"59","Phone is small enough to go in my pocket!","The phone handles my old data well, is easy to upgrade, and is easy to use.",5,2019-12-20 17:02:00
"60","Duplicate phone replacement.  Oldie but a goodie.","This is one of my daughter's phone.  She knew exactly what she wanted and we saved money. Our sales associate was excellent and I was impressed by the attention we received from the entire team.",5,2019-09-27 16:51:00
"61","Helpful?","I have to wonder what may be the point of writing a review on a phone. The tribal mentality that is Android vs. iPhone has obfuscated any real discussion around fitting the right tool to function. 

Subjectively, and objectively as one can muster, it is redundant to say this is a beautiful functional top shelf device. The only thing I can offer to anyone on the fence is consider whether you are someone that ""needs"" your device... needs your phone to meld into the million parts of the daily kaleidoscope of your life, to find it's place in your own personal flurry.... or if you are someone that is buying the phone primarily as a daily fidget spinner of sorts; a electronic time killer to insulate the space between the minutes. To keep the walls warm between seasons.

Neither of those are ill things, nor does one always find themselves only in summer flurries or wedded to the cruel mistress of hurry up and wait. 

Do you need your device, or does your device need you?

The iPhone 8 is a stalwart servant to your court.

Android is a small child, a forever needy fledgling.

The rest is what you're made of.",5,2017-12-24 03:35:00
"62","What can you say?","What can I say?  It's an iPhone... I love it!!!!! Very happy with the way I can trust Apple to be a solid company who spares no expense to build phones that last for many years!",5,2019-10-04 16:22:00
"63","Christmas gift","Purchased for a Christmas gift. My son likes it very much.",5,2019-12-26 10:59:00
"64","Cheaper than an 11!","After breaking three previous phones due to water - this is a good alternative to previous models as it is water resistant.  Plus, it is a lot less expensive than paying for an 11.  The Apple Care is even less than the current phones to insure it for two years.  Win.",4,2019-10-18 15:18:00
"65","i phone 8","Much improved memory from iphone 6.  The associates at the store where very helpful with this purchase.",5,2019-11-22 15:46:00
"66","phone handles great","Phone was lost and had to be replaced. Replaced it with an iPhone 8 because I had heard they were good.",5,2019-11-14 20:20:00
"67","Exactly what I expected.","The order process was very easy and the product was shipped quickly.",5,2019-12-09 08:43:00
"68","Love it","I had to replace my six and I loved it so much this is been a great phone I’ve had it for over a year and I’m very happy with it still",5,2019-10-17 20:11:00
"69","Works well, fits in our pockets","This phone works well, is very much like the iPhone 6's we had before, and therefore is easy to use.",4,2020-01-03 16:08:00
"70","new iPhone after 5 years","My old iPhone 5s was on it's last leg with no battery life, cracked screen and shutting off all the time. Couldn't decide to go with iPhone again or Samsung. Fortunately, I met Jenn at the Apple area of Best Buy and she showed me the iPhone 8. I felt it was an overkill for my needs but I took a chance with it because of the great sale they had. Very glad that I did and EXTREMELY happy with my purchase. It's only been a couple of weeks but every day I am discovering something new with it's performance and functionality. I can't believe the difference of it's performance over the iPhone 5s. There have been a few glitches with updates but that is software and not the hardware. I've been an Apple user with laptops and phones for 8 years and yes, I'm biased. I'm confident in Apple taking care of the minor software update issues.",5,2018-03-03 10:13:00
"71","Great!","We love these phones and the people at BestBuy are the best!",5,2019-12-07 07:53:00
"72","Another excellent apple product","Needed to upgrade from an iPhone 6 but didn’t really need the latest model. Very happy with all the functions & ease of use this phone has to offer",5,2019-09-27 15:15:00
"73","Good but small battery life","Works well but does faster than my last one of the same model.",4,2020-01-24 16:35:00
"74","iPhone 8","I love this phone! I have nothing but Apple products and this of course did not disappoint.",5,2019-11-10 09:38:00
"75","Love it!","Perfect size and live the storage capacity! Easy to use.",5,2019-12-07 07:56:00
"76","Love it!","Perfect size and live the storage capacity! Easy to use.",5,2019-12-07 07:56:00
"77","Nice affordable upgrade","This phone was an upgrade from my son's iphone 6s which was on its last legs.

Right now there aren't many great deals on Apple phones, especially the X/XR/XS models. Price per month on the Verizon payment plan for this phone was a reasonable $25, so we went with it. Son loves the phone and the relatively compact size as he prefers the smaller form rather than the +'s.",5,2019-03-15 13:58:00
"78","Great phone for great price","Apple make a great phone. iPhone 8 is no exception.",5,2019-12-08 20:44:00
"79","This was a great item and i would definitely recom","This was a great item and i would definitely recommend to a friend",5,2019-11-26 01:00:00
"80","Good phone","Great iPhone. Awesome upgrade. Great price........",5,2019-12-08 20:46:00
"81","iPhone 8 - Incredible Phone!!","I've been an iPhone user since the very first weekend the first iPhone was released. I've upgraded from the original iPhone to the iPhone 4 to the iPhone 6s and now to the iPhone 8. This phone is absolutely the best so far. Photo quality is superb, the high resolution screen is great, and the reliability of the iPhone is unbeatable.",5,2018-03-30 12:55:00
"82","Great phone","This is the best iPhone I've had to date! It's fast and the pictures come out really sharp!",5,2019-11-04 14:24:00
"83","Very good iphone","My son wonted a new iPhone and he is very happy with iPhone 8.",5,2019-11-27 23:00:00
"84","Great phond","Great phone, great price and delivered fast. No complaints.",5,2019-11-27 20:35:00
"85","iPhone 8!","As always, Apple knows what they are doing and provided a great buy with the iPhone 8.",5,2019-11-03 15:14:00
"86","great phone","I upgraded from an iPhone 5. This is a good phone. It was just what I needed do to not having any security upgrades on my old one. I did research first and got a good deal on it.",5,2019-08-16 17:15:00
"87","Significant Upgrade","This phone is an upgrade from my former 5c phone that I had for many years. Like almost everything about it except for the volume level. At max the audio is at best moderate when listening to podcasts and music like iHeartRadio. Otherwise I’m fairly pleased.",4,2019-09-11 13:29:00
"88","Awesome","Love this phone. It’s fast, it’s secure, it’s way to use. Just recently upgraded and I still wanted my beloved home button. The iPhone 8 was perfect!!!",5,2019-05-31 12:11:00
"89","Phone is working great","Bought this phone as a replacement for my daughters iphone7 and it's working great.",5,2019-11-01 15:29:00
"90","Had to upgrade from iPhone 5S","My daughter's iPhone 5S began having numerous problems, therefore, I had to upgrade. Best Buy had a better deal on the iPhone 8 which overall will save me money. I had planned to get her the iPhone 7 but for a few dollars more we were able to get 256GB which is best for my daughter! Audrey and Karl were AWESOME knowing I had limited time, they worked as a team and had me in and out with time to spare! Great service and wonderful to see how professional they were working together!",5,2018-01-11 11:20:00
"91","New iPhone","I was using an IPhone 5s for 4 years but needed to upgrade to phone due to service providers moving to 5g and LTE. This phone was a good price for a good phone.",5,2019-08-22 01:01:00
"92","Love my new phone.","I had an iPhone SE for about 10 years and decided to upgrade to the iPhone 8.  Still adjusting to a few differences between the two, but I love my new phone!!",5,2019-08-23 16:47:00
"93","Good phone for the price","Bought phone for daughter for Christmas. Seems to be a good phone.",4,2020-01-04 06:03:00
"94","Nice looking, thin, fast iphone!","I’ve had other iPhones in the past and I like this one as much as the others...of course it is an updated newer phone than the ones I’ve had before and has much more abilities as I purchased the 256g model. However, one upgrade that I thought was on it was the portrait mode and it does not have that feature... that is only available in the plus model so be aware of that. Otherwise I am happy with my I phone 8. 
 Easy purchase and good price for this iphone compared to other prices I looked into for a brand new iPhone 8. I purchased it in the gold color which I like.",4,2018-07-06 14:14:00
"95","upgrade time !","was time to retire my iphone 5c !! great choice the iphone 8 !  And great service at BestBuy getting me switched to the new ""ride""
thanks !",5,2019-08-31 09:33:00
"96","iPhone is great for my needs","can't go wrong with apple always purchased I phones this is just as good as my others",5,2019-10-19 11:20:00
"97","Great Phone","We really love the iPhone 8! I have one already, this one was for my daughter (and she WILL be paying for it!) The new iPhone 10's have a little too much tech for us. No home button, facial recognition. The iPhone 8 really has everything we wanted and hope they continue to offer and support a phone like this one in the future.",5,2019-02-26 08:55:00
"98","My favorite phone ever","These iPhones just keep getting better! Perfect size for me although I really like the plus version and absolutely love the amount of storage offered! I have the 256gb and have plans to use this as my iPod whenever I upgrade to the iPhone X. Has never crashed or had any issues, just works and performs awesome! Thank you apple!",5,2019-02-23 15:52:00
"99","Enjoying the iPhone","This was my first iPhone. Previously I always had android. I am extremely pleased with the iPhone security and its functionality. I’m busy learning the new changes and enjoying it.",5,2017-11-11 11:47:00
"100","Good Phone at Good Price","Was a purchase for an older man. Even not being tech savvy, he has learned to love his new iPhone and uses it all the time.",5,2019-09-08 18:01:00
"101","Miraculous black mirror","It's incredible what this tiny piece of technology can accomplish by itself... let alone in my hands! It's a wonder, a miracle for sure. We spend hours staring into each others lenses, lost in worlds previously unknown. I feel like that guy in the movie HER. That's how good this phone is.",5,2019-03-29 13:24:00
"102","New IPhone","I  lost my old phone so this is a replacement, I have had good luck with Apple products.",4,2019-12-12 15:36:00
"103","Keeping it for as long as I can","While I like the thin bezels of newer models, I REALLY don’t like that they did away with the home button. This phone is a great combination of large screen yet still small enough to use in one hand and fit comfortably in a pocket. I got the 256 GB version hoping that this phone will last me for years since I’m not keen on potentially not having a home button for my next phone.",5,2018-12-19 19:08:00
"104","New iPhone for my wife .","She is very pleased with the upgrade . Her old iPhone 6 was saying no SIM card . She had to restart when this happened .",5,2019-09-06 16:00:00
"105","Does what I need it to do.","Easy to transition from an earlier iphone model. Big discount because I was fine with an older model to replace my unable to update anymore iphone 5S.",5,2019-08-06 19:00:00
"106","I love my iPhone 8","Had to upgrade when my iPhone 4 finally got too balky. Oh is the 8 SWEET!",5,2019-10-19 09:17:00
"107","Cheaper than the X","I don't like having to spend tons of money on a phone that is only going to last a few years. Needed to upgrade so choose the 8 over the X. Works for what I need it to.",5,2019-07-18 22:25:00
"108","Still using it","The Apple products are great. This phone has served me very well throughout the years",5,2019-10-04 07:39:00
"109","Good Phone","Upgraded my daughters phone from the 5S to this for her Birthday and she loves it even though she wanted the 10x or 8+ but she's 12 and didn't need anything else.",5,2019-07-18 10:48:00
"110","Great phone","This Phone for my teenager and he says Great Camera",5,2019-11-02 20:57:00
"111","Awesome iPhone for iPhone lovers","I have used four different phones before getting the iPhone 8 there is none I can compare with iPhone 8 . It’s camera is great, its easy to access. Everything about the iPhone 8 works fine, it’s durable easy to carry on. It’s fell in water once for almost a month now I picked up it work fine and it’s still working fine like it never dropped in water.
iPhone 8 is awesome.",5,2018-11-29 09:50:00
"112","Great upgrade","My new phone has much better battery life than my last phone. Very satisfied with my purchase and customer service for this purchase st Best Buy",5,2019-04-12 13:39:00
"113","great phone","great phone for the price. like that you can use a wireless charger to charge it",5,2019-10-04 18:48:00
"114","Droid to an iPhone","Well, I did it. Said I would never switch and I did. I must say I am pleased so far. Just got hearing aids for the first time and they work wirelessly with my phone. It's a wonderful thing",5,2019-06-13 13:17:00
"115","Works great and easy to learn","Didn’t take long to learn ins and outs. Love the extra memory",5,2019-10-18 15:53:00
"116","Great","My boyfriend loves his phone. Works well. He likes the color",5,2019-10-17 21:41:00
"117","Great phone with great features","Wish the phone was more different from an exterior POV than the 6S I upgraded from, but overall it's a great phone. Camera is out of this world good for a smartphone. It's a little different getting used to the lack of a physical home button, but the interface is still good. Battery life is at least double what I was getting on my old 6S and that was after having installed a new battery several months ago. Overall, I'm happy with this phone!",5,2018-08-10 13:51:00
"118","Works good. Price should be lower now that the 11s","A lot cheaper than the 10s and 11s and u don’t have to get used to having no home button. I staff is great at transferring your data to the new phone",4,2019-10-11 18:10:00
"119","Okay replacement","Due to software upgrades, I had to purchase a new phone.  The phone is functional and does what I need it to do.",4,2019-11-08 16:53:00
"120","Great phone for beginners","Got this phone for my granddaughter and she Loves it!!!",5,2019-10-19 04:36:00
"121","Love my new iPhone 8","I had the 6 before I bought the new iPhone 8. It's similar, but will more features. I specifically bought the model with 256G as I had issues with my other phone running out of memory. I've only had this about a month, but am very pleased thus far. The camera takes great pix, and I've been able to download all types of new apps. I'd definitely buy it again.",5,2018-02-20 10:41:00
"122","What I was hoping for.","This phone is exactly what I wanted. I upgraded from a iPhone 6s 128GB. I really liked my old phone, but it was having issues. This has everything that phone had with more features like wireless charging and water resistance. It is very quick and I haven't had a problem with it.",5,2019-02-15 15:37:00
"123","Great phone","I went from an iPhone 5s so this transistor was easy. Didn’t want to lose the home button.",5,2019-06-07 22:20:00
"124","Great replacement for my grandson","Sales rep was great. I was not sure what to get my grandson within a reasonable price range. He recommended the 8 and my grandson really likes it",5,2019-07-12 16:53:00
"125","Well Rounded Phone","The phone overall works as intended for my kids, and they of course seem to love it.",5,2019-09-14 07:00:00
"126","A great size and functionality.","Exactly what I was looking for I. Terms of size and function.  Advancement on my IPhone 6",5,2019-09-06 15:15:00
"127","I am glad I brought it, learning something new","I would recommend it to anyone that wants to catch up with technology.   You start slow and once you know you become a pro.  Different, but not to hard to learn.",4,2019-09-21 08:36:00
