"","X1","Heading","Text","Rating","Time"
"11",11,"Love it! It’s easy to use. Nice!","Not a big stretch from my previous iPhone as far as understanding how to use the functionality. I’m happy with this phone. Thanks WBHauser",5,2020-01-17 19:22:00
"12",12,"I phones  keep getting better","Started off with a iPhone 4 then thru the years kept upgrading up to the new iPhone 11.  I really must say the iphone 11 knock it out of the park!  Very user friendly and easily adaptable even for the beginner. Battery life is alot better then my previous phones. Thank you iPhone and Bestbuy.",5,2019-10-13 10:41:00
"13",13,"This was a pre order","I’m sure this is a great phone but I cancelled it the very next day when I discovered the 128gb was only $50 more. I could easily have stayed with the 64gb since I only used 32gb of my 128gb iPhone 7. It’s just that I got used to the security of having plenty of space. 

I ordered the red (instead of the purple that I really like) because 100% goes to fighting Aids. I will always choose a product that supports a charity.",5,2019-09-20 16:48:00
"14",14,"my first iphone","this  is my first iphone, been a samsung owner since the S4 came out, it's a great phone, love how it picks up wifi where ever i am, no signing in to networks. i got the 11 because i'm a photographer, it's all about the camera for me. my 2 issues is the volume, on phone calls i have to put on speaker phone,just to see if i'm connecting with my caller, i'm still learning how to navigate thru out, also the photos are out of order when transferred over, but pairs well with my car.  pros and cons like everything.",5,2020-01-26 11:02:00
"15",15,"Amazed","I have had the 8 plus in red for 2 years but I was the  lucky One and got a defective device it didn’t happen after the first year was over and I was debating on the 11 or 11 pro and after finally deciding on the 11 I don’t see much of a difference except a little more screen and extra camera but I love my red iPhone 11 best decision and of course Best Buy is the way to go when starting a contract or upgrading they always look for deals and with a lower phone payment",5,2019-12-06 15:35:00
"16",16,"Good Phone","I was impressed by how well the content transferred from my old Iphone to the new one, it even captured my folders on the screen and the open internet windows I had.  I stayed onsite at Best Buy and they helped me get things going.  They also price matched a phone case for me which saved me time and energy ordering it from elsewhere. 

the only struggle I had was transferring my applewatch content to the new phone, my husband had to back it up on a desktop and reset some things before the apple watch would recognize the new phone.",5,2020-01-03 16:15:00
"17",17,"Terrific phone","I’m totally impressed with this new I-phone 11. I was a dedicated Blackberry owner for 20 years! Now I’m wondering what took me so long to switch. At 72 years old I have mastered iOS 13 in a little more than one day! It is so incredibly friendly. I love it.",5,2019-09-27 15:24:00
"18",18,"So many reasons this was a great gift","My son had issues with his old phone and the thought of not being able to get a hold of each other at any time was upsetting to both of us. His old phone likely could have been repaired, but there was no guarantee. It made sense to buy a new phone and know that he not only had something reliable, but also something that had better features and more storage than his previous phone. He loved it and I love knowing that he appreciates the new phone as well.",5,2020-01-18 14:44:00
"19",19,"Impressive New Version of the iPhone","I had been using an iPhone 6s for several years but was having issues with battery life, the charging port, etc. so I decided it was time to update. I debated buying an older model rather than the iPhone 11 to avoid the use of Face ID but decided to go with the most recent model and think that was the right decision. The battery life is fantastic in comparison to my old phone, the picture quality is great and I am enjoying the slightly larger screen. I have still not turned on Face ID but may do so eventually which reduces the ease of use somewhat in comparison to the old thumbprint ID.",4,2020-01-03 16:37:00
"20",20,"Great new phone","I’m still getting used to my new iPhone 11 because it’s quite a bit different from my iPhone 6S Plus. I loved that phone but am starting to love my new iPhone 11 as well. I really like the red color to start with, but also all the new features, such as face recognition, swiping from one screen to the next & the camera takes really clear & pretty photos. There are many other options that I’m still learning, but overall I really like my new phone & would highly recommend it.",5,2020-01-10 16:36:00
"21",21,"Nice upgrade!","I've had an Apple 6+ iPhone for years and finally decided to purchase an upgrade to iPhone 11.  It's a really nice phone and the new features are cool. I wish these phones weren't so expensive but the quality and security this phone provides helps offset the price for me. I also have a MacBook Pro, so I like that I have 2 Apple products that are easy to sync.",5,2020-02-07 16:20:00
"22",22,"Pretty big compared to iPhone 6","I upgraded from an iPhone 6 to this iPhone 11 which is much larger, does not have the ""button"" to push on the screen (now need to swipe right) and does not allow charging and use of headphones at the same time - both use the same port.  Definitely something to get used to.  Some of my App. passwords transferred over, some did not.  I'm still not sure what the difference is in having 2 cameras instead of one.  Learning curve.",5,2020-01-07 17:15:00
"23",23,"Best iPhone ever!","I moved up from an SE. What a difference!  Facial id makes sign on a breeze. You pick up the phone, look at it and boom you are in. Swoop up and there are your apps. Swoop up again to leave an app. 

Sound is good quality. I haven’t used the headphones so I can’t comment. 

This is the 64 gig model. The case is actually as large as the pro.",5,2020-02-01 00:42:00
"24",24,"Real Nice Upgrade!","Upgrading from a 6, this baby really is nice. Battery life is about twice as long, even after taking advantage of battery replacement on my old 6. Processing speed is astounding, app upgrades are super short. Display is large, bright and sharp. Size was more than I wanted, but it still fits in my front pocket. I thought the loss of the home button was going to be problematic, but in a few hours of use I was completely comfortable with swiping up. So much so that I get somewhat lost when I have to use my wife’s 7. The camera is much more capable than I need but I’m finding new uses as I discover features. The only downside is they didn’t give it to me for free!",5,2019-10-18 20:48:00
"25",25,"Switched from Android to IOS","I am new to an Apple IOS phone. There is a slight learning curve for a first time purchaser of an Apple product. I like the phone but, there are a few features I dislike. 1. I don't like that if I am away from my phone and receive a text message or phone call I have no way of knowing I have received either because, there isn't a light that will blink to let me know I have missed either. 2. I don't care for the camera to much. I don't see options to change my pictures such as, low lighting mode, panorama, and others I can't think of right now. 3. I don't like that I can not use some apps that I could on my android. 4. I don't like that I have to turn WiFi off each day from the top right corner pull down. Then it tells me it will turn it off until the next day and each day I have to go through that to turn it off.  If I go into settings and turn it off there, I am not able to use my hot spot. For it to be an Apple 11 (yes I know it's not the pro or pro max) you would think it would have more features. However, as I said I am new to Apple and it could just be that I have not figured things out.",4,2019-11-05 16:05:00
"26",26,"Impressive New Version of the iPhone","Bought this for my wife who had been using an iPhone 6s for several years but was having issues with battery life and fuzzy pictures so I decided it was time to update. I debated buying an older model for her rather than the iPhone 11 to avoid the use of Face ID but decided to go with the most recent model and think that was the right decision. The battery life is fantastic in comparison to her old phone, the picture quality is great and she is enjoying the slightly larger screen. She has been using Face ID but has not been thrilled with the functionality in comparison to the old thumbprint ID. She is also having to replace her phone holders due to the larger size.",4,2020-01-06 15:44:00
"27",27,"Flawless","Lightning fast processor. My emails, reports, PDFs, app updates, everything! downloads so quickly. There is nearly zero wait time for apps that I have had to wait between 30 seconds and 2 minutes for my XR that I traded in.

Camera: the HD features of the 11 are pretty much useless if your subject is farther than 8 feet away. Also, depending on the angle of capture, faces of people can appear slanted or warped if they are on the edge of the shot; I understand this is hard to escape, due to the tiny lens creating a “walleye vision” effect just from the light passing through it. Physics is still unarguable, despite our digital prowess.",5,2019-10-21 08:56:00
"28",28,"So far so good","I went from an Android to an IPhone this time around. I was hoping the battery life would be better but not so much. It is a work in progress getting used to the difference in operating systems. The camera is good not much difference my my old phone. Over all pretty good.",4,2019-09-28 06:36:00
"29",29,"Big upgrade from my wife's SE","All works well. Pro tip, take the plastic screen protector from the factory off before trying to call or you and the person you're talking to will be frustrated. All works well, iOS transfer is great for mirroring devices. Camera was actually less clear than expected. Shots seem very grainy and not high quality when sending to other devices with higher resolution screens.",5,2020-01-03 16:48:00
"30",30,"iPhone 11 is a great phone.","I was cautioned before buying it about it not having a ""home"" button. It took me all of two minutes to get used to using the phone without one.  I like everything about this phone.",5,2020-02-28 18:09:00
"31",31,"Second time was the charm","Got an iPhone 11 on Black Friday and for the first time ever in my Apple buying experience, the phone wouldn't work. It couldn't connect for some reason. After the great help at Best Buy, I was given this phone and it's been great ever since. Getting to know the new functions was pretty easy after having a 7 for so long. 

Great phone for a great cause.",5,2019-12-22 11:10:00
"32",32,"This is a very good phone.","My husband and I both bought one of these iPhone 11 phones. I thought this was a vast improvement over my iPhone 7. It seems to be a very easy to work with phone, now I just have to get used to IOS 13. I wish to commend both Terrell and Adrienne for the great jobs they did for us at the Verizon desk. I think they are a great asset for the Best Buy store in Mishawaka Indiana store.",5,2019-10-01 08:15:00
"33",33,"The sweet spot in the iPhone line up","I, like another reviewer, traded in an iPhone XS Max for the iPhone 11. No regrets! I like the size better, it has a brilliant screen, and saves me $15.00/month on my phone bill. I still have the features of the Pro series that matter to me and paying $400 less for it. All iPhones are great phones and I wouldn’t own anything else but for me the 11 hits all the marks for my needs at a reasonable price. If you’re on the fence about upgrading to the iPhone 11, go for it! You won’t regret it. It’s a great device!",5,2019-10-25 17:49:00
"34",34,"So far , so good.","Present for my son.  His old phone needed a serious upgrafe... so we went for it.  iphone 11.  He loves it! And going to Best Buy instead of going to our carrier... EXCELLENT!  Our Best Buy Rep was knowledgeable & honest... and it only took 20 minutes... seriously only 20 minutes.  We would have been at our carrier for 2 hours.  Ha!",5,2019-12-21 07:38:00
"35",35,"Unlocked and Best Buy is the way to go.","Bought a unlocked iPhone 11 from Best Buy.  The wireless rep was helpful and very quick in helping me add the phone to our account and finding the life proof case I wanted.  This is the 3rd unlocked phone we have purchased through Best Buy.  Highly recommend Best Buy for all your wireless needs.",5,2020-01-04 10:40:00
"36",36,"Great batter life!","This is my first iPhone and I love it so far. The battery life is much better than my google pixel. I do wish iPhones were a little more customizable, however that’s something I will get used to. I also love the night mode camera; it works super well!",5,2019-09-27 18:54:00
"37",37,"Much needed upgrade","The new iPhone 11 net every expectation and more for a holiday gift for my daughter. The sales associates knowledge and understanding of the product made the purchase even more special by explaining FL the functionality of the phone and upgrades over her previous phone. Win Win",5,2020-01-10 16:16:00
"38",38,"So far so good.","I did purchase the XR and the camera was terrible!  I could not understand how a Pixel 2 could be it.  This double camera seems to be a lot better.  I took a video in 4k, but I cannot watch it in 4k on the phone, a little strange, but OK.  Battery life is FANTASTIC.  The screen is bright.  Having a hard time with the sounds, either too loud or cannot hear it. But I like the phone, like IOS 13 and like the dual speakers on the bottom.",5,2019-11-12 09:42:00
"39",39,"I switched to the dark side","I am not a fan of apple.  However all of my kids have iphones and I was missing out on the interconnectivity that iphones have.  I have to admit that this phone has changed my mind about iPhones.  It wasn't as painful of a switch as I thought it would be.  This is a really nice phone and takes great pictures.",5,2019-12-29 00:19:00
"40",40,"Rough start but a great phone","I had some issues, probably from the IOS 13 bugs restoring this phone from a backup. It froze up, shut down and would not power on. After a visit to BB a tech got it back up running using vol up, vol down and power button combo unfroze the phone. After a couple of IOS 13 updates it works fine. Battery life is incredible! All day of sometime heavy use without a mid day boost. Love the wireless charging, but Apple should throw in a wireless charger rather than making us buy one separately. I huge update from my old iPhone 7.",5,2019-10-11 20:38:00
"41",41,"Still getting used to it","This phone replaced an iPhone 5 that was 6 1/2 years old.  I loved that smaller phone, but the battery was just getting weird.  I would lose 80% of my charge in just five minutes.  This phone probably has way more features than I will ever use.  I'm still getting used to swiping it, instead of hitting a home key.  Sadly, it no longer fits into ""pockets"" in my Baggalini purse, so now it's just in the main compartment.  Therefore, I bought a screen protector because I think it's more vulnerable now.  I also wasn't used to the fact that it turns on automatically whenever you touch it.  I was worried I would wear down the charge.  But I do see the benefit of being able to check the time without clicking anything.    The overall huge benefit is that, since I don't use it much, I don't even have to charge it once a day!  I guess it was just time to say goodbye to my trusty 5!  :-(",4,2019-10-24 13:47:00
"42",42,"Holy Camera","The cameras on the new iPhone 11 is fantastic. Battery life is substantially better than the iPhone X and the speed of apps to launch is in milliseconds. Quite impressed with this update and would recommend to anyone considering upgrading.",5,2019-09-27 17:21:00
"43",43,"Excellent upgrade","This was purchased as a gift for someone upgrading from an iPhone SE so the difference in quality was immediately noticed. All of the new features really made a difference in the user experience. The deal I found through Best Buy got us a better price than directly from either Apple or Verizon. Very pleased.",5,2019-12-23 08:23:00
"44",44,"Another great smartphone from Apple!","I replaced my iPhone 6 with this phone.  I'm very pleased with it so far.  I'm glad I have 64GB of storage now-- I used to have 16.

The only thing I've had to get used to is that this phone is larger in size than than the one I used to have.  Other than that, it's been a very smooth transition.",5,2019-12-28 03:51:00
"45",45,"Like bery much.","Haven’t had a chance to use the camera much but I’m sure it will be really good. So nice not running out of memory. Increased from 16 g with my 6S to 128 gwith my 11.",5,2020-02-19 17:10:00
"46",46,"Best value iPhone!","This is hands down the best iPhone you can buy for your money. It has the same cameras (minus the telephoto) and processors as the 11 Pro! Not to mention it has a super long battery life that lasts all day with constant use!",5,2019-10-04 06:58:00
"47",47,"I am really enjoying my upgrade to iPhone 11.","I was surprised to find a better deal from Best Buy than from my provider for my upgrade from iPhone 6 to iPhone 11. I am loving the upgrade! It was an easy transition. No more error messages telling me to manage my storage before I can take a picture or update my apps.",5,2020-01-03 18:30:00
"48",48,"The sound/camera/battery life is great","Sounds like the speaker is in the back, the new surround sound system in this phone is amazing. This camera is no joke and worth buying if your don’t want to buy an actual camera, portrait mode is awesome. You can play music/be online/Play games and you will still have battery by the time you get home. Very impressed with the new iPhone 11",5,2019-09-21 01:31:00
"49",49,"Fast and beautiful design.","Coming from iPhone 7 Plus (128gbs) the upgrade was definitely big change. I opted for extra storage for additional $$$. I still can't believe Apple refuse to make 128 or 256 as a standard size for $700-$1000 device. 

+Color
+Camera
+Size

One negative is the LCD display but I knew that before making my purchase.",5,2019-12-13 18:39:00
"50",50,"Great Phone","Delightful upgrade from my iPhone 7. I’m. Glad I waited for the iPhone 11. I haven’t used the camera much yet and I’m still getting used to more swiping and no home button. But I am very happy with this phone.",5,2019-10-04 15:38:00
"51",51,"Love this phone. It is fast and has a great camer","This phone has a great camera and it feels great in the hands. It’s a little thicker than the iPhone 8 Plus and I like it better",5,2020-02-28 18:52:00
"52",52,"Awesome phone","I got this phone for my brother for Christmas and so far he loves his phone. He had an iPhone 6 And he would start having problems with it, so I got him the iPhone 11 and he's very happy with this new phone.",5,2020-01-25 11:03:00
"53",53,"Great phone.","Everything I would expect from Apple. Glad I went with the 11 instead of the pro. Saved some money and don’t feel like I’m missing out on anything.",5,2019-09-28 09:53:00
"54",54,"Great phone","I bought the phone for my daughter and she loves her iPhone 11 she had the 8 but she earned a new phone and best buy had a great deal and payment plan. As a mom I was glad to buy the phone from best buy.",5,2020-01-26 22:45:00
"55",55,"Great new iPhone","I absolutely love my iPhone 11! I was using a 7plus which was fine but I really like the Face ID. I feel more secure and it’s much faster to wake up the phone. Plus “swiping” rather than using the home button is much better.",5,2020-01-15 18:10:00
"56",56,"Like the face recognition","The face recognition makes it fast to open phone haven’t had the phone long so I’m still learning some of the features",5,2020-02-28 15:43:00
"57",57,"Easy to learn to use","The phone does not have a home button like our previous phones.  However, getting used to the new system was very easy.  The lack of the home button makes the screen bigger and easier to read.  I have had some problems with the phone freezing and making it necessary to reboot the phone.",5,2019-10-07 09:28:00
"58",58,"Happy","Bought a new iphone for my daughter & she could not have been any happier. Well we should know that MOM doesnt always mean exactly that word. It also means “Made Of Money” hahaha. The holidays are always the best time to purchase & it was time for an upgrade. She loved it",5,2019-12-20 15:17:00
"59",59,"Great phone and easy online purchase","After attempting to purchase this phone at another online retailer on Black Friday and cyber Monday with numerous errors in the checkout process, I decided to purchase through Best Buy. While I lost some money in the cyber deal, the ease of checkout and store pickup was well worth it.",5,2019-12-13 15:37:00
"60",60,"Responsive, quick, and premium.","I came from a note8 and the biggest thing is that the quality is better. No screen burn as of now which is great.",5,2020-02-28 15:28:00
"61",61,"nice value","I Bought the iphone 11 for a family member that broke their phone. I set it up with ease, and compared to my much more expensive 11 pro, I can't really see much of a difference other than it being slightly larger. It works the same way.",5,2020-01-03 18:33:00
"62",62,"The Apple I Phone 11 us a great phone","I am very happy with the purchase of the Apple I Phone 11.
It is a great improvement from the Motorola Droid Turbo that I
was using.

It has many new features and has proven itself to be a great
purchase.",5,2020-01-17 16:31:00
"63",63,"This is the play.","iPhone 11 is the phone to have this year. This phone has the most bang for your buck and competes with any camera phone on the market. Larger screen than the 11 pro and the exact picture quality minus the telephoto lenses. Which honestly, unless you’re a professional photographer, I don’t think is really needed. Wonderful phone for $300 cheaper. Buy this iPhone unless you have to have the pro for status!",5,2019-10-20 13:35:00
"64",64,"I like the change","I went from a galaxy 7 edge to the iPhone 11. I was unsure about making the change because of the different systems. I do like how it works but it is also handy for me if i have a question i can just ask my wife as she has a 10.",5,2020-01-06 06:52:00
"65",65,"Great new features!","I went from the 7 Plus to the 11 And although it takes some practice to navigate without the home button, I love the facial ID and quick response!  Iphone never disappoints!",5,2020-01-31 18:00:00
"66",66,"New Phone Who Dis?","I finally upgraded to the new iPhone after using the 6+ for the last 4 1/2 years. It’s great but kind of hard getting used to not having a home button. I did also switch my carrier which is saving me an extra $50 a month which probably puts me over the top on this purchase.",5,2019-12-14 11:38:00
"67",67,"This phone has it all.","I have absolutely ""no"" regrets about getting this iPhone11. It performs very well, and looks really beautiful at any angle. Great job, Apple!!!! I opted for the black, as black goes with everything.",5,2020-01-17 21:35:00
"68",68,"Love it!","I upgraded from an iPhone 8 so I love my 11! The camera is wonderful. I’ve been very happy with it so far.",5,2020-02-28 16:33:00
"69",69,"One really great phone","I was looking to upgrade from my iPhone 7. This iPhone 11 blew me away with the great features. My wife also bought this phone but she got a purple one. This is going  to be a great phone with IOS 13,  but now I just have to get used to IOS 13. I also want to give a shout out to Terrell and Adrienne for the great job they did at the Verizon desk. The great jobs they did will keep me coming back to the Best Buy store in Mishawaka Indiana.",5,2019-10-01 08:25:00
"70",70,"Great Apple","Upgraded from an iPhone 8plus. Battery lasts all day with normal use. We also have the 11 pro Max. Not a noticeable difference in the camera. Overall a great device.",5,2019-12-09 15:33:00
"71",71,"Much needed new phone","My daughter’s current phone was glitching and she needed a new one.  Great deal for iPhone and associates at store we’re very helpful setting up/transferring info in a very short time so she could get to her train back to school!",5,2019-12-31 14:12:00
"72",72,"Love it!","So far, so good! I just came from the galaxy s10 plus, but this phone is really amazing. The swiping with the home button is actually really easy!",5,2020-02-08 13:50:00
"73",73,"I still prefer Samsung","I ordered two of these for Christmas for my boys. shipping was delayed by several days, but still got here in time. Pricing is better than verizon. Also, I'm not an apple fan because the durability is lacking compared to my Samsung. My Samsung is still in perfect shape and both apple iphone 8s were cracked on the back, charging port broken, and speakers broken. I'm hoping the iphone 11 will last longer than the precious models.",4,2019-12-27 18:49:00
"74",74,"Love it!","So glad iPhone has finally made a phone that isn’t $1200. I love my phone it’s absolutely perfect!",5,2020-02-28 20:06:00
"75",75,"Love the new iPhone 11","Went from an iPhone 6.  Took some getting use to the different functions but I caught on quickly.",5,2020-02-28 15:34:00
"76",76,"Excellent","Upgrade from my 6S. So much faster. Sharper screen and faster response. Love the edge to edge screen, so much more real estate - it feels like an iPad mini. I bought it outright so no worrying about payment plans or contracts. Great price for such a high quality phone.",5,2019-12-06 15:21:00
"77",77,"Phone has a lot of great features and easy to lear","Apple iPhone 11 was a good purchase especially upgrading from a lower level iPhone.  Cameras provide sharp, crisp pictures and operating system is fast.",5,2020-02-01 07:27:00
"78",78,"iPhone 11","I just upgraded from my IPhone 6S.  While reading the reviews before deciding which phone to get the biggest issue I saw was that Apple removed the HOME button.  I was very pleased to see that it operates pretty much the same and I don’t miss the home button at all.",5,2019-12-06 15:36:00
"79",79,"Great camera and battery","This is our third iphone 11 purchase, kids are very happy with them. Battery is great so far!",5,2020-02-28 16:13:00
"80",80,"A great step up from iphone 6","I did not think the face recognition would be a big deal, but you pick the phone up and it is unlocked.  Everything works faster, downloads better.  And the wireless charging is very nice.  Definitely worth the upgrade.",5,2019-12-27 17:02:00
"81",81,"Excellent phone","My daughter had an Iphone 7, it just quit charging and messing up her photos.  So i bought her an Iphone 11 for Christmas.   She loves it.  I want a good phone for her while she drives to school and work.",5,2020-01-04 01:11:00
"82",82,"Great for anyone","My first I phone ever and I love it! I have always had androids and this phone is amazing",5,2020-02-28 15:16:00
"83",83,"Nice camera, good display.","Nice camera good display, looks noticeably better than my iphone 8 display, runs apps so much smoother! worth the upgrade $$ for camera alone as we have small children and can better capture those moments.  Not a huge fan of face recognition yet as it can't recognize my face in horizontal orientation or with my surgical mask on.",5,2019-11-01 18:47:00
"84",84,"working well","No problems, no issues. Actually got the device with 64GB memory and had to exchange within the 14d period for the other model.  Had to pay a fee for it but I knew that going in and it was reasonable.",5,2020-01-03 16:19:00
"85",85,"Excellent competent friendly service","The gentleman at the phone counter transferred information from my old iphone 6s to the new iphone 11 is a short time.  The service person was very competent and friendly.  Loved doing business with Bestbuy.",5,2019-12-29 13:40:00
"86",86,"Love the red phone !","So many Features  that surpass My old phone
Pictures superior and  ease in use a plus",5,2020-02-28 22:30:00
"87",87,"iPhone 11","Slick & sophisticated. The color is really nice bright but not overpowering. Thanks",5,2020-02-28 15:56:00
"88",88,"iPhone 11 purchase","I’m very happy with my new iPhone 11.  I’ve had no problems with adjusting the new actions compared to my old iPhone 6.",5,2020-02-10 20:36:00
"89",89,"Best Phone I’ve Had","I’m usually the type to splurge on a Pro model, but not for this price difference. Love the base model, but make sure you get the 128 gb model if you want to play any games or save any videos.",5,2020-01-03 15:28:00
"90",90,"Awesome iPhone","Best iPhone out for the value. You will enjoy your iPhone experience. It is a must have upgrade and great phone to be tour first iPhone.",5,2020-02-01 06:52:00
"91",91,"Great phone","Made the switch from Samsung.  Glad I did.  Easy to navigate and features are great. Still getting use to it.",5,2020-02-14 15:46:00
"92",92,"The phone was great!","The phone is perfect and working perfectly! Only wish the phone came with a SIM card. Look out for phones that don’t come with one. Had to go get one from carrier because the old sim wouldn’t take.",5,2019-12-29 14:18:00
"93",93,"Great phone","Upgrade phone. Very fast!  Best Buy rep was great! Recommend to anyone looking to upgrade for a good price.",5,2020-02-14 15:34:00
"94",94,"Good phone for the price","I like the phone, it’s not overpriced like the other iPhones. All the iPhones are the same besides camera quality and processor.",5,2020-02-01 08:47:00
"95",95,"Amazing so far","Bought this phone for my son as a Christmas gift and he loves it. Went from a iPhone 6s to this so you know he's in total awe over it. Thanks Best Buy mobile team for all your amazing help!!!",5,2019-12-28 05:34:00
"96",96,"Great Phone","Fantastic phone, was a replacement for a android phone. I like to switch back and forth between both phone brands. I have no loyalty to either manufacture, just like to try out the newer versions when they come out.",5,2019-12-13 21:30:00
"97",97,"It does what it's supposed to do","I bought this for my wife whose iPhone 8 was starting to act up. She really likes it although she doesn't know how to use all the features.Maybe some day she'll learn how to use more of it's features.",5,2019-12-21 11:18:00
"98",98,"Phone is wonderful, service was great!!","Phone is great but the only colors in stock were white, black, red and  purple...I really wanted the green and second choice was yellow.",5,2020-01-24 19:09:00
"99",99,"Great camera","Love my new iPhone, the yellow color is beautiful . So easy to use",5,2020-02-27 19:28:00
